,Windkraftanlage_options,Bhkw_options,Pv_options,Waermepumpe_options,Gastherme_options,Waermebedarfssenkung_options,Vorlauf_temp_options,Wetter_typ,Netzbezug,Netzeinspeisung,Gasbezug,max_gas,max_p_el,Volllaststunden_bhkw,Cop,Stromproduktion,Stromverbrauch_hp
0,Ein,Aus,25 kWp,Aus,Normal weiter,0%,0,Jetzt Normal,1592549.216527582,0.0,4555044.441602527,1400.102,380.8638881218489,0.0,0.0,110475.808472418,0.0
1,Ein,Aus,500 kWp,Aus,Normal weiter,0%,0,Jetzt Normal,1252296.9050058783,48783.08086889913,4555044.441602527,1400.102,345.7240486461436,0.0,0.0,499511.2008630206,0.0
2,Ein,Aus,1.000 kWp,Aus,Normal weiter,0%,0,Jetzt Normal,1092644.9926713738,278166.560924997,4555044.441602527,1400.102,342.58,0.0,0.0,888546.593253623,0.0
3,Ein,Aus,1.500 kWp,Aus,Normal weiter,0%,0,Jetzt Normal,1013224.8643850755,587781.8250293011,4555044.441602527,1400.102,342.58,0.0,0.0,1277581.985644226,0.0
4,Aus,Aus,25 kWp,Aus,Normal weiter,0%,0,Jetzt Normal,1670423.2134262072,0.0,4555044.441602527,1400.102,385.66115608670196,0.0,0.0,32601.811573793,0.0
5,Aus,Aus,500 kWp,Aus,Normal weiter,0%,0,Jetzt Normal,1321755.3611532215,40367.540117617085,4555044.441602527,1400.102,351.0,0.0,0.0,421637.2039643956,0.0
6,Aus,Aus,1.000 kWp,Aus,Normal weiter,0%,0,Jetzt Normal,1152817.0463809068,260464.61773590505,4555044.441602527,1400.102,351.0,0.0,0.0,810672.5963549982,0.0
7,Aus,Aus,1.500 kWp,Aus,Normal weiter,0%,0,Jetzt Normal,1068724.7198917498,565407.6836373507,4555044.441602527,1400.102,351.0,0.0,0.0,1199707.9887456007,0.0
8,Ein,Aus,25 kWp,Aus,Zwei-Stoff-Brenner,0%,0,Jetzt Normal,1592549.216527582,0.0,4480371.581904125,1377.1495081967214,380.8638881218489,0.0,0.0,110475.808472418,0.0
9,Ein,Aus,500 kWp,Aus,Zwei-Stoff-Brenner,0%,0,Jetzt Normal,1252296.9050058783,48783.08086889913,4480371.581904125,1377.1495081967214,345.7240486461436,0.0,0.0,499511.2008630206,0.0
10,Ein,Aus,1.000 kWp,Aus,Zwei-Stoff-Brenner,0%,0,Jetzt Normal,1092644.9926713738,278166.560924997,4480371.581904125,1377.1495081967214,342.58,0.0,0.0,888546.593253623,0.0
11,Ein,Aus,1.500 kWp,Aus,Zwei-Stoff-Brenner,0%,0,Jetzt Normal,1013224.8643850755,587781.8250293011,4480371.581904125,1377.1495081967214,342.58,0.0,0.0,1277581.985644226,0.0
12,Aus,Aus,25 kWp,Aus,Zwei-Stoff-Brenner,0%,0,Jetzt Normal,1670423.2134262072,0.0,4480371.581904125,1377.1495081967214,385.66115608670196,0.0,0.0,32601.811573793,0.0
13,Aus,Aus,500 kWp,Aus,Zwei-Stoff-Brenner,0%,0,Jetzt Normal,1321755.3611532215,40367.540117617085,4480371.581904125,1377.1495081967214,351.0,0.0,0.0,421637.2039643956,0.0
14,Aus,Aus,1.000 kWp,Aus,Zwei-Stoff-Brenner,0%,0,Jetzt Normal,1152817.0463809068,260464.61773590505,4480371.581904125,1377.1495081967214,351.0,0.0,0.0,810672.5963549982,0.0
