,Windkraftanlage_options,Bhkw_options,Pv_options,Waermepumpe_options,Gastherme_options,Waermebedarfssenkung_options,Vorlauf_temp_options,Wetter_typ,Netzbezug,Netzeinspeisung,Gasbezug,max_gas,max_p_el,Volllaststunden_bhkw,Cop,Stromproduktion,Stromverbrauch_hp
0,Ein,Aus,25 kWp,Aus,Normal weiter,0%,0,Jetzt Warm,1588989.786315273,0.0,4657149.49218586,1652.816222222222,367.21807067988607,0.0,0.0,114035.23868472697,0.0
1,Ein,Aus,500 kWp,Aus,Normal weiter,0%,0,Jetzt Warm,1210517.997188672,51055.36050557431,4657149.49218586,1652.816222222222,346.1899031129706,0.0,0.0,543562.3883169024,0.0
2,Ein,Aus,1.000 kWp,Aus,Normal weiter,0%,0,Jetzt Warm,1054489.0953061252,324553.6082552032,4657149.49218586,1652.816222222222,342.58,0.0,0.0,973089.5379490779,0.0
3,Ein,Aus,1.500 kWp,Aus,Normal weiter,0%,0,Jetzt Warm,986657.6122331662,686249.2748144199,4657149.49218586,1652.816222222222,342.58,0.0,0.0,1402616.6875812537,0.0
4,Aus,Aus,25 kWp,Aus,Normal weiter,0%,0,Jetzt Warm,1666863.7832138978,0.0,4657149.49218586,1652.816222222222,385.73110001975544,0.0,0.0,36161.24178610195,0.0
5,Aus,Aus,500 kWp,Aus,Normal weiter,0%,0,Jetzt Warm,1279192.0801969662,41855.446615243745,4657149.49218586,1652.816222222222,360.0899031129707,0.0,0.0,465688.3914182774,0.0
6,Aus,Aus,1.000 kWp,Aus,Normal weiter,0%,0,Jetzt Warm,1112495.6796502343,304686.1957006876,4657149.49218586,1652.816222222222,351.0,0.0,0.0,895215.5410504531,0.0
7,Aus,Aus,1.500 kWp,Aus,Normal weiter,0%,0,Jetzt Warm,1040099.9248638181,661817.5905464466,4657149.49218586,1652.816222222222,351.0,0.0,0.0,1324742.6906826284,0.0
8,Ein,Aus,25 kWp,Aus,Zwei-Stoff-Brenner,0%,0,Jetzt Warm,1588989.786315273,0.0,4580802.779199207,1625.7208743169397,367.21807067988607,0.0,0.0,114035.23868472697,0.0
9,Ein,Aus,500 kWp,Aus,Zwei-Stoff-Brenner,0%,0,Jetzt Warm,1210517.997188672,51055.36050557431,4580802.779199207,1625.7208743169397,346.1899031129706,0.0,0.0,543562.3883169024,0.0
10,Ein,Aus,1.000 kWp,Aus,Zwei-Stoff-Brenner,0%,0,Jetzt Warm,1054489.0953061252,324553.6082552032,4580802.779199207,1625.7208743169397,342.58,0.0,0.0,973089.5379490779,0.0
11,Ein,Aus,1.500 kWp,Aus,Zwei-Stoff-Brenner,0%,0,Jetzt Warm,986657.6122331662,686249.2748144199,4580802.779199207,1625.7208743169397,342.58,0.0,0.0,1402616.6875812537,0.0
12,Aus,Aus,25 kWp,Aus,Zwei-Stoff-Brenner,0%,0,Jetzt Warm,1666863.7832138978,0.0,4580802.779199207,1625.7208743169397,385.73110001975544,0.0,0.0,36161.24178610195,0.0
13,Aus,Aus,500 kWp,Aus,Zwei-Stoff-Brenner,0%,0,Jetzt Warm,1279192.0801969662,41855.446615243745,4580802.779199207,1625.7208743169397,360.0899031129707,0.0,0.0,465688.3914182774,0.0
14,Aus,Aus,1.000 kWp,Aus,Zwei-Stoff-Brenner,0%,0,Jetzt Warm,1112495.6796502343,304686.1957006876,4580802.779199207,1625.7208743169397,351.0,0.0,0.0,895215.5410504531,0.0
15,Aus,Aus,1.500 kWp,Aus,Zwei-Stoff-Brenner,0%,0,Jetzt Warm,1040099.9248638181,661817.5905464466,4580802.779199207,1625.7208743169397,351.0,0.0,0.0,1324742.6906826284,0.0
16,Ein,Aus,25 kWp,Luft/Wasser 200,Normal weiter,0%,45,Jetzt Warm,1856586.3506708206,0.0,3367046.5075454167,1652.816222222222,425.75824406461237,0.0,4.338967090151761,114035.23868472697,267596.56435554783
17,Ein,Aus,500 kWp,Luft/Wasser 200,Normal weiter,0%,45,Jetzt Warm,1465347.9387426905,38286.42421814588,3367038.8658563644,1652.816222222222,404.7910549290109,0.0,4.338955279119295,543562.3883169024,267598.87784144725
