,Windkraftanlage_options,Bhkw_options,Pv_options,Waermepumpe_options,Gastherme_options,Waermebedarfssenkung_options,Vorlauf_temp_options,Wetter_typ,Netzbezug,Netzeinspeisung,Gasbezug,max_gas,max_p_el,Volllaststunden_bhkw,Cop,Stromproduktion,Stromverbrauch_hp
0,Ein,Aus,25 kWp,Aus,Normal weiter,0%,0,zukunft Warm,1591659.1094101965,0.0,4288641.127352527,1283.4646666666665,380.73219345978606,0.0,0.0,111365.91558980357,0.0
1,Ein,Aus,500 kWp,Aus,Normal weiter,0%,0,zukunft Warm,1237449.1008545726,44496.55563286884,4288641.127352527,1283.4646666666665,351.49862994445675,0.0,0.0,510072.4797782962,0.0
2,Ein,Aus,1.000 kWp,Aus,Normal weiter,0%,0,zukunft Warm,1081603.4837444648,287357.50271125365,4288641.127352527,1283.4646666666665,346.1530660594171,0.0,0.0,908779.0439667889,0.0
3,Ein,Aus,1.500 kWp,Aus,Normal weiter,0%,0,zukunft Warm,1007285.637909359,611746.2210646404,4288641.127352527,1283.4646666666665,342.5945397908418,0.0,0.0,1307485.608155281,0.0
4,Aus,Aus,25 kWp,Aus,Normal weiter,0%,0,zukunft Warm,1669533.1063088216,0.0,4288641.127352527,1283.4646666666665,380.7471846010344,0.0,0.0,33491.91869117856,0.0
5,Aus,Aus,500 kWp,Aus,Normal weiter,0%,0,zukunft Warm,1307393.3736388697,36566.83151854125,4288641.127352527,1283.4646666666665,365.39862994445673,0.0,0.0,432198.48287967115,0.0
6,Aus,Aus,1.000 kWp,Aus,Normal weiter,0%,0,zukunft Warm,1141585.6093347885,269465.6314029525,4288641.127352527,1283.4646666666665,353.5930660594171,0.0,0.0,830905.0470681638,0.0
7,Aus,Aus,1.500 kWp,Aus,Normal weiter,0%,0,zukunft Warm,1062442.3974915717,589028.9837482283,4288641.127352527,1283.4646666666665,351.0,0.0,0.0,1229611.611256656,0.0
8,Ein,Aus,25 kWp,Aus,Zwei-Stoff-Brenner,0%,0,zukunft Warm,1591659.1094101965,0.0,4218335.535100846,1262.424262295082,380.73219345978606,0.0,0.0,111365.91558980357,0.0
9,Ein,Aus,500 kWp,Aus,Zwei-Stoff-Brenner,0%,0,zukunft Warm,1237449.1008545726,44496.55563286884,4218335.535100846,1262.424262295082,351.49862994445675,0.0,0.0,510072.4797782962,0.0
